code,product_label,tanzania_exported_value_2001,tanzania_exported_value_2002,tanzania_exported_value_2003,tanzania_exported_value_2004,tanzania_exported_value_2005,tanzania_exported_value_2006,tanzania_exported_value_2007,tanzania_exported_value_2008,tanzania_exported_value_2009,tanzania_exported_value_2010,tanzania_exported_value_2011,tanzania_exported_value_2012,tanzania_exported_value_2013,tanzania_exported_value_2014,tanzania_exported_value_2015,tanzania_exported_value_2016,tanzania_exported_value_2017,tanzania_exported_value_2018
'89,"Ships, boats and floating structures",1,10,0,50,54,197,1703,607,891,947,2421,1567,41014,3504,122,22,27,582
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",89,355,1144,848,852,785,676,2765,1013,1106,2507,1379,628,614,1326,223,405,532
'29,Organic chemicals,195,48,57,120,298,444,1810,1267,584,853,2045,957,756,1137,612,254,347,505
'57,Carpets and other textile floor coverings,0,6,9,5,13,17,41,975,34,33,19,130,105,67,43,112,95,499
'79,Zinc and articles thereof,64,23,56,151,103,159,377,571,236,381,1107,2797,1661,570,577,233,103,446
'54,Man-made filaments; strip and the like of man-made textile materials,330,278,350,331,58,55,152,1369,742,591,132,4168,1877,1408,848,409,200,429
'91,Clocks and watches and parts thereof,0,2,0,10,29,85,187,275,113,101,1506,88,83,120,233,51,15,414
'26,"Ores, slag and ash",45674,75238,61968,105457,102083,178176,201250,350549,501675,823937,1027447,832828,400136,713718,471293,323426,62721,410
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,409,267,485,1816,138,81,90,223,64,123,922,939,936,667,1188,736,709,335
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",32,46,21,49,25,9,23,47,85,119,155,85,23,52,14,69,130,329
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",15,21,1,3,0,1,156,259,591,355,12,75,432,1152,109,457,135,224
'81,Other base metals; cermets; articles thereof,0,0,0,4,10,3,1337,33,157,56,1,25,53,35,1038,10,7,193
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,67,196,369,130,174,42,42,3254,68,127,643,194,220,320,124,1891,67,161
'65,Headgear and parts thereof,7,11,52,8,66,136,625,1485,300,8,62,17,34,286,94,21,60,149
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,123,33,8,122,6,73,185,425,385,688,1152,1378,1005,1037,180,28,49,126
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1419,827,15,179,118,343,88,5,595,1430,383,773,250,2074,2883,982,219,122
'75,Nickel and articles thereof,14,1,0,1,6,35,4,4,1,7,1,0,0,34,28,62,28,105
'97,"Works of art, collectors' pieces and antiques",11,26,16,143,269,898,1581,748,157,448,411,251,260,232,386,54,85,101
'80,Tin and articles thereof,0,0,0,11,0,20,3,9,0,155,8,7,143,52,23,8,0,86
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",168,79,30,51,536,133,520,124,7,2296,8310,6407,2300,25,9,9,54,83
'35,Albuminoidal substances; modified starches; glues; enzymes,3,0,8,146,56,12,77,58,986,14,239,353,293,157,162,26,57,80
'92,Musical instruments; parts and accessories of such articles,15,4,149,18,16,18,32,88,22,469,29,431,19,40,54,1062,45,65
'37,Photographic or cinematographic goods,11,1,1,13,1,370,78,2334,67,78,597,19,85,587,14,25,18,29
'93,Arms and ammunition; parts and accessories thereof,0,0,2,5,9,2,37,25,716,76,7,372,2888,3899,218,67,113,26
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,1,0,0,633,59,0,83,165,140,0,34,0,0,0,0,75,15
'50,Silk,0,14,14,19,8,44,4,1,251,1485,144,71,29,518,0,2,0,4
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",1,25,32,36,141,80,32,15,41,8,3,4,3,3,7,2,1,3
'99,Commodities not elsewhere specified,0,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
