code,product_label,kenya_imported_value_2001,kenya_imported_value_2002,kenya_imported_value_2003,kenya_imported_value_2004,kenya_imported_value_2005,kenya_imported_value_2006,kenya_imported_value_2007,kenya_imported_value_2008,kenya_imported_value_2009,kenya_imported_value_2010,kenya_imported_value_2011,kenya_imported_value_2012,kenya_imported_value_2013,kenya_imported_value_2014,kenya_imported_value_2015,kenya_imported_value_2016,kenya_imported_value_2017,kenya_imported_value_2018
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",91,65,68,127,26,70,106,93,244,103,186,163,181,184,203,137,151,562
'97,"Works of art, collectors' pieces and antiques",146,93,193,623,607,145,346,392,298,1024,556,579,733,625,439,640,412,562
'80,Tin and articles thereof,119,369,77,262,468,271,768,738,763,199,909,375,497,318,251,438,472,528
'81,Other base metals; cermets; articles thereof,100,114,87,271,1006,1517,1154,496,289,163,646,291,450,421,391,260,202,295
'75,Nickel and articles thereof,137,115,174,186,284,299,468,599,444,476,434,246,1232,566,253,242,212,253
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",181,46,46,54,183,215,3552,193,93,411,555,255,360,257,63,105,128,187
'50,Silk,56,7,24,32,61,73,20,44,25,190,157,154,205,73,128,92,43,98
'45,Cork and articles of cork,21,33,96,20,17,49,14,90,19,60,51,41,38,122,33,66,12,33
'43,Furskins and artificial fur; manufactures thereof,20,15,2,2,7,7,11,8,8,36,11,4,12,3,4,0,14,1
'99,Commodities not elsewhere specified,5,0,20,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
