code,product_label,burundi_imported_value_2001,burundi_imported_value_2002,burundi_imported_value_2003,burundi_imported_value_2004,burundi_imported_value_2005,burundi_imported_value_2006,burundi_imported_value_2007,burundi_imported_value_2008,burundi_imported_value_2009,burundi_imported_value_2010,burundi_imported_value_2011,burundi_imported_value_2012,burundi_imported_value_2013,burundi_imported_value_2014,burundi_imported_value_2015,burundi_imported_value_2016,burundi_imported_value_2017,burundi_imported_value_2018
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2075,2866,367,1893,2637,1725,2038,1814,1811,1571,2687,2326,2252,1115,1140,2260,2406,2131
'29,Organic chemicals,1112,731,1098,738,914,463,463,809,1244,709,2158,1660,2507,954,1336,1340,1950,2122
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",353,104,200,77,132,491,957,1298,1773,1177,1677,2240,2545,581,1282,1308,1393,1861
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",69,2,45,16,15,94,21,10,863,367,1204,2056,2390,1924,1635,1829,1720,1733
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",33,140,33,104,34,121,78,67,44,97,63,194,185,1497,91,160,191,1708
'76,Aluminium and articles thereof,756,702,563,1138,775,1262,2929,1419,850,1085,3356,3307,2203,1840,1278,1300,1778,1684
'13,"Lac; gums, resins and other vegetable saps and extracts",245,232,295,672,337,654,1092,1665,851,1424,1231,1675,1085,969,1473,1031,1102,1288
'44,Wood and articles of wood; wood charcoal,382,629,236,326,1578,1030,1462,928,1963,1623,3619,1770,2991,2031,1382,1600,1620,1269
'01,Live animals,24,54,50,66,51,104,103,81,1419,342,1007,2414,1886,1028,517,1465,2026,1229
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",172,508,113,313,504,253,480,995,798,809,116362,148367,4451,1641,912,571,668,1142
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,135,26,86,197,68,46,29,21,486,93,112,180,104,12,130,57,977,992
'35,Albuminoidal substances; modified starches; glues; enzymes,160,248,151,194,174,222,238,248,1767,726,1002,822,693,902,756,1272,970,903
'88,"Aircraft, spacecraft, and parts thereof",240,730,40,6,175,19828,52,81,1312,53,0,1638,32,2,9,1,127,775
'55,Man-made staple fibres,772,737,256,200,398,769,1015,792,1478,3179,2579,2654,1634,480,925,1242,1021,687
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,55,12,97,8,30,52,29,112,88,362,183,1208,784,132,102,540,303,650
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",35,74,37,214,158,106,266,176,527,1682,6030,1709,537,323,169,210,1710,640
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1953,818,663,403,912,2382,2341,1338,744,1826,4123,2571,1909,1895,1240,1333,1158,604
'95,"Toys, games and sports requisites; parts and accessories thereof",224,85,80,130,139,243,242,249,397,377,532,788,731,469,306,409,446,593
'54,Man-made filaments; strip and the like of man-made textile materials,381,138,34,77,170,159,281,1138,272,88,678,512,718,11,15,507,2573,590
'92,Musical instruments; parts and accessories of such articles,27,34,33,6,109,30,8,23,27,140,133,400,92,74,47,246,193,587
'09,"Coffee, tea, maté and spices",13,14,14,11,20,212,23,42,1113,42,47,104,158,19,163,471,648,543
'57,Carpets and other textile floor coverings,32,41,17,74,31,97,300,157,463,136,434,165,558,82,227,167,271,449
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,2,2,4,1,4,13,9,10,11,10,12,18,56,240,346,206,230,238
'65,Headgear and parts thereof,91,11,16,20,46,388,51,84,323,140,192,397,1095,509,1009,2228,2014,238
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",26,48,45,22,200,128,239,57,92,250,174,330,208,46,32,669,539,230
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",135,170,91,438,105,81,269,38,156,76,111,267,93,139,115,207,245,228
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",47,38,51,317,92,506,142,169,342,58,430,302,230,184,44,101,125,221
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1,43,0,35,2,6,4,3,1,0,62,13,13,1,8,8,1,155
'08,Edible fruit and nuts; peel of citrus fruit or melons,4,8,2,7,6,6,32,69,34,27,42,57,57,95,112,117,87,140
'74,Copper and articles thereof,26,23,11,14,280,129,42,145,193,67,259,275,150,99,65,103,215,126
'23,Residues and waste from the food industries; prepared animal fodder,41,48,2,38,66,18,22,5,16,74,240,248,146,120,54,160,140,125
'18,Cocoa and cocoa preparations,16,16,13,17,25,44,67,30,396,71,137,206,237,122,136,62,89,106
'37,Photographic or cinematographic goods,116,141,111,140,131,183,444,222,527,96,80,159,118,11,46,64,91,101
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",152,67,50,125,56,126,78,113,55,70,284,205,142,86,34,65,144,91
'91,Clocks and watches and parts thereof,84,11,12,20,9,17,35,17,233,23,60,34,75,49,8,40,64,59
'60,Knitted or crocheted fabrics,3,8,7,11,8,21,11,9,10,10,3,344,247,4,4,11,50,51
'41,Raw hides and skins (other than furskins) and leather,0,2,8,3,1,4,5,1,8,1,8,6,8,16,45,27,58,30
