code,product_label,kenya_exported_value_2001,kenya_exported_value_2002,kenya_exported_value_2003,kenya_exported_value_2004,kenya_exported_value_2005,kenya_exported_value_2006,kenya_exported_value_2007,kenya_exported_value_2008,kenya_exported_value_2009,kenya_exported_value_2010,kenya_exported_value_2011,kenya_exported_value_2012,kenya_exported_value_2013,kenya_exported_value_2014,kenya_exported_value_2015,kenya_exported_value_2016,kenya_exported_value_2017,kenya_exported_value_2018
'21,Miscellaneous edible preparations,5351,2803,12099,11802,9216,9212,11605,10555,14815,17007,22320,33400,35581,38801,53275,64573,70318,92699
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",3372,5023,6655,6803,91285,71342,102419,218958,135303,124167,174164,157206,135003,116483,89985,76607,90365,87884
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4580,14565,26566,14800,40722,48059,53590,62559,86474,76715,90087,81400,94945,71503,67525,74197,54526,84002
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",61238,42631,85139,119177,70259,88379,119753,193400,141069,137741,197304,184649,165928,169930,157897,108876,89100,75611
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",28306,15817,34328,41717,38790,46287,56941,67385,57506,63077,71674,71867,71880,59063,56963,57542,56127,66445
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",2624,54841,73871,5206,24261,30822,48448,54587,54893,32621,40025,44465,33897,44151,59671,48604,50814,63603
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",5225,15783,15022,14788,25571,37282,64813,100304,78331,88097,83426,108210,119010,69813,77722,135107,59130,56865
'02,Meat and edible meat offal,1802,1043,2279,3623,4372,5170,6777,9310,8626,13687,22115,20700,22629,28658,27559,34644,49777,54195
'17,Sugars and sugar confectionery,25126,19289,45510,28714,44346,48090,64787,83557,46923,58587,75861,71806,64401,62972,57608,51022,52295,52925
'22,"Beverages, spirits and vinegar",3583,2421,7670,7117,10000,28702,47072,55869,68319,72014,74059,92208,92915,84587,90591,67747,52026,51450
'73,Articles of iron or steel,15928,9240,21925,23227,29427,44264,52685,64600,53307,58317,74236,82224,75686,72896,57877,55445,44523,45462
'41,Raw hides and skins (other than furskins) and leather,15574,10874,22127,29081,32681,35956,47254,48611,29322,53016,82090,89296,100169,88190,65059,47069,49721,44293
'38,Miscellaneous chemical products,7610,5220,7168,7833,24473,17739,24098,37861,27282,31730,33764,29332,26521,28799,30939,37599,33658,42895
'74,Copper and articles thereof,604,2031,4064,1303,8488,18523,29479,32320,23101,28399,13394,37570,30811,40468,28581,24369,34017,41215
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,9788,4854,13877,14418,15700,17715,21060,21891,16836,20208,29724,33513,34118,36930,39640,45181,37838,40303
'31,Fertilisers,2945,4839,21617,693,8793,12710,18768,51976,32986,17901,33465,32889,32443,34614,24921,27782,23115,35257
'64,"Footwear, gaiters and the like; parts of such articles",15396,3413,19954,23081,25990,31673,45654,38990,34831,41201,41102,51330,47543,41631,38349,34664,31789,34587
'10,Cereals,594,6730,5283,4078,6983,5385,14777,10611,9313,26016,16058,20825,32025,31230,40193,30264,34163,33263
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",7081,1476,5276,6105,8639,10693,14124,12890,15039,16607,20865,23087,25050,27287,28246,22516,25896,32011
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4508,3460,8032,5325,8801,9370,13025,19237,13294,16050,17450,16676,22508,18982,29551,28525,52996,29863
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",49213,25251,57238,52588,60878,55367,58680,57867,47339,52022,43974,48417,34079,33804,28288,18620,20600,29379
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",13120,2771,9242,9363,17478,14034,16941,19305,19546,21681,23519,27458,26686,26051,26495,20884,22466,29327
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,12150,14872,21907,22245,35805,41978,46907,35276,31037,40169,41744,50284,42449,45724,51988,36772,26865,27972
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",8396,4768,9646,10170,15532,22646,21303,21349,26873,35243,30257,40974,36004,41120,33538,32074,27769,26076
