code,product_label,tanzania_imported_value_2001,tanzania_imported_value_2002,tanzania_imported_value_2003,tanzania_imported_value_2004,tanzania_imported_value_2005,tanzania_imported_value_2006,tanzania_imported_value_2007,tanzania_imported_value_2008,tanzania_imported_value_2009,tanzania_imported_value_2010,tanzania_imported_value_2011,tanzania_imported_value_2012,tanzania_imported_value_2013,tanzania_imported_value_2014,tanzania_imported_value_2015,tanzania_imported_value_2016,tanzania_imported_value_2017,tanzania_imported_value_2018
'95,"Toys, games and sports requisites; parts and accessories thereof",1875,2685,2199,2156,3985,3571,3853,4292,4121,7156,5492,5927,7817,9230,6919,6517,6074,6528
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",1428,1796,2183,2541,4562,4301,5459,9025,8033,10227,11139,8060,8149,9407,7046,6920,5189,5672
'08,Edible fruit and nuts; peel of citrus fruit or melons,527,660,769,819,880,1208,1811,2427,3008,3573,4802,4377,5801,5666,4689,4896,4652,4567
'65,Headgear and parts thereof,528,523,640,656,792,564,723,965,1306,1837,1651,2049,3734,3782,3405,3557,4296,4410
'01,Live animals,842,1037,1419,960,1056,423,1285,2497,1115,2625,1480,1567,2038,4170,4313,3415,2242,3665
'02,Meat and edible meat offal,939,571,811,1565,1900,1550,421,2916,3534,2745,7738,6477,6941,13468,6736,6621,6990,3330
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,1068,1373,1261,1204,1370,1024,1240,1086,2112,945,952,1147,1370,810,1070,1432,879,2904
'18,Cocoa and cocoa preparations,806,529,596,816,620,843,959,3508,1875,1731,2204,2744,2831,3523,2428,1764,2186,2826
'57,Carpets and other textile floor coverings,937,837,926,1093,970,1826,2248,2552,2248,2240,1885,2458,2547,2363,1900,2933,2043,2602
'37,Photographic or cinematographic goods,1716,1829,3006,9268,3446,2877,4277,5174,4306,5618,5530,6726,7189,5936,3338,3030,2815,2531
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,404,419,567,896,825,1472,2466,3124,5492,2128,10979,13703,10710,6468,14110,5197,1736,2218
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,763,423,1306,1989,2886,1695,1326,2184,1595,7771,5323,5161,1153,1397,2464,1935,1591,1743
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",361,534,610,527,889,749,732,1610,1055,1052,954,1474,1616,2401,1624,1531,765,1651
'91,Clocks and watches and parts thereof,818,709,588,766,605,648,628,1120,879,7106,1458,1168,1740,1595,1602,1504,1598,1642
'26,"Ores, slag and ash",489,318,154,129,336,1039,185,377,294,285,2566,232,8711,3221,1854,1149,699,1558
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",399,560,865,1558,848,805,352,620,1626,1470,870,1552,1750,1694,1457,1178,1221,1382
