code,product_label,rwanda_imported value in 2001,rwanda_imported value in 2002,rwanda_imported value in 2003,rwanda_imported value in 2004,rwanda_imported value in 2005,rwanda_imported value in 2006,rwanda_imported value in 2007,rwanda_imported value in 2008,rwanda_imported value in 2009,rwanda_imported value in 2010,rwanda_imported value in 2011,rwanda_imported value in 2012,rwanda_imported value in 2013,rwanda_imported value in 2014,rwanda_imported value in 2015,rwanda_imported value in 2016,rwanda_imported value in 2017,rwanda_imported value in 2018
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,51,139,120,104,136,180,217,263,282,470,427,646,478,833,951,909,1167,1404
'74,Copper and articles thereof,34,61,180,196,588,361,690,1017,1388,1708,869,519,654,1059,3407,1014,1567,1320
'18,Cocoa and cocoa preparations,66,57,69,101,112,175,209,336,359,430,549,411,524,502,704,858,1062,1274
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",372,481,323,342,148,470,367,1124,1319,712,601,982,743,1198,1139,1411,1424,1097
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",132,180,180,207,260,263,320,451,458,637,726,724,961,986,1209,1024,1048,1085
'65,Headgear and parts thereof,39,73,142,62,131,182,277,338,288,799,915,506,566,2894,9079,2103,1085,1036
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",133,101,58,278,159,279,212,223,342,246,151,710,1369,663,502,930,1158,1021
'92,Musical instruments; parts and accessories of such articles,63,42,293,84,669,141,243,352,135,1058,350,710,264,1490,1337,696,2593,970
'41,Raw hides and skins (other than furskins) and leather,3,6,6,6,0,58,2,7,4,23,82,110,124,116,183,578,542,878
'13,"Lac; gums, resins and other vegetable saps and extracts",271,385,1,412,329,341,362,1378,2193,771,1227,1106,1735,600,1201,681,1094,823
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,6,10,31,100,100,141,153,210,197,278,301,346,329,961,1398,1427,650,802
'91,Clocks and watches and parts thereof,78,205,61,72,144,121,129,143,201,159,192,319,313,209,268,359,400,570
'37,Photographic or cinematographic goods,338,452,308,307,531,395,546,689,782,670,797,560,458,423,453,485,634,528
'80,Tin and articles thereof,1,5,0,0,4,12,4,50,119,6,88,18,75,132,146,196,307,389
